"Gosain, S.",45,2002,2016
"Kostogryz, N.",14,2005,2016
"Bethge, C.",9,2003,2014
"Berdyugina, S.",118,1990,2016
"Berkefeld, T.",35,2000,2014
"Gerber, K.",1,2011,2011
"Vigeesh, G.",5,2007,2013
"Gisler, D.",9,2002,2016
"Steiner, O.",53,1986,2016
"Glogowski, K.",1,2012,2012
"Kiess, C.",23,1911,2014
"Löhner-Böttcher, J.",2,2013,2015
"Salhab, R.",1,2014,2014
"Schad, A.",7,2008,2015
"Schmidt, W.",331,1861,2016
"Thaler, I.",3,2013,2015
"Wisniewska, A.",2,2015,2016
"Yakobchuk, T.",8,2006,2015
"Barthol, P.",30,1982,2014
"Buchner, J.",117,1984,2016
"Curdt, W.",126,1987,2016
"Danilovic, S.",21,2004,2016
"Gandorfer, A.",49,1997,2015
"Inhester, B.",83,1981,2015
"Innes, D.",79,1984,2016
"Nagaraju, K.",9,2005,2015
"Krivova, N.",0,0,0
"Lagg, A.",93,1998,2016
"Riethmüller, T.",17,2008,2014
"Schou, J.",0,0,0
"Schuhle, U.",79,1985,2015
"Schussler, M.",171,1975,2015
"Shapiro, A.",0,0,0
"van Noort, M.",26,1998,2016
"Warnecke, J.",23,1990,2016
"Wiegelmann, T.",112,1995,2016
"Woch, J.",155,1986,2014
"Feller, A.",20,2004,2016
"Solanki, S.",460,1984,2016
"Gizon, L.",106,1997,2016
"Baczynski, K.",0,0,0
"Barra, S.",1,2012,2012
"Beeck, B.",12,2009,2016
"Bucik, R.",25,1999,2015
"Chifu, I.",7,2008,2015
"Chitta, L.",10,2012,2016
"Doerr, H.",8,1988,2015
"Gafeira, R.",3,2012,2014
"Hizberger, J.",1,2015,2015
"Iglesias, F.",2,2015,2015
"Kaithakkal, A.",2,2013,2015
"Meller, R.",7,1992,2011
"Mou, C.",4,2014,2016
"Peter, H.",85,1974,2016
"Teriaca, L.",53,1997,2015
"Widmer, F.",0,0,0
"Zhao, X.",213,1979,2016
"Yeo, K.L.",7,2013,2016
