"Nordlund, A.",186,1974,2014,Astrophysics,Astrophysics - Solar and Stellar Astrophysics,turbulence
"Galsgaard, K.",68,1991,2015,Astrophysics,Sun: corona,magnetohydrodynamics (MHD)
"Presmann, M.",1,2015,2015,Sun: corona,Sun: magnetic fields,methods: numerical
"Kilpua, E.",36,2009,2015,Coronal mass ejections,Astrophysics - Solar and Stellar Astrophysics,Physics - Space Physics
"Vainio, R.",119,1995,2015,Sun: particle emission,shock waves,acceleration of particles
"Koskinen, H.",132,1983,2015,Geophysics,Magnetospheric Physics: Storms and substorms,Magnetospheric Physics: Solar wind/magnetosphere interactions
"Andreeova, K.",12,2007,2015,Interplanetary Physics: Interplanetary shocks,Space Plasma Physics: Shock waves (4455),Magnetospheric Physics: Numerical modeling
"Afanasiev, A.",15,1968,2015,turbulence,shock waves,Sun: particle emission
"Pomoell, J.",11,2008,2015,shock waves,acceleration of particles,Coronal mass ejection
"Hietala, H.",13,2009,2015,shock waves,magnetic reconnection,acceleration of particles
"Isavnin, A.",4,2011,2015,Astrophysics - Solar and Stellar Astrophysics,Coronal mass ejections,Magnetic fields
"Mursula, K.",188,1986,2016,Interplanetary Physics: Solar cycle variations (7536),Astrophysics,Solar Physics
"Usoskin, I.",191,1990,2016,Sun: activity,Astrophysics - Solar and Stellar Astrophysics,Astrophysics
"Ilpo, V.",0,0,0,,,
"Asvestari, E.",2,2013,2015,sunspots,Sun: activity,solar-terrestrial relations
"Holappa, L.",8,2008,2015,solar wind,geomagnetic activity,high-speed streams
"Pohjolainen, S.",69,1986,2016,Solar Physics,Sun: radio radiation,SUN: RADIO RADIATION
"Riehokainen, A.",19,1997,2016,Sun: radio radiation,Sun: oscillations,Sun: activity
"Valtonen, E.",99,1976,2016,Space Radiation,Cosmic Rays,Sun: particle emission
"Afanasiev, A.",15,1968,2015,turbulence,shock waves,Sun: particle emission
"Battarbee, M.",13,2010,2015,cosmic rays,96.50.sb,Neutrino muon pion and other elementary particles
"Kretzschmar, M.",34,2004,2015,Astrophysics - Solar and Stellar Astrophysics,Astrophysics,Sun: UV radiation
"Buchlin, E.",17,2003,2015,Astrophysics - Solar and Stellar Astrophysics,Sun: corona,Astrophysics
"Appourchaux, T.",140,1987,2015,Astrophysics - Solar and Stellar Astrophysics,stars: oscillations,methods: data analysis
