"Nesis, A.",117,1969,2012
"Löhner-Böttcher, J.",4,2013,2016
"Salhab, R.",2,2014,2015
"Schad, A.",16,1996,2015
"Scheiffelen, T.",3,2010,2014
"Schleicher, H.",98,1952,2012
"Schmidt, W.",500,1819,2015
"Sigwarth, M.",41,1996,2016
"Thaler, I.",5,2010,2015
"Volkmer, R.",71,1989,2016
"Wisniewska, A.",12,1978,2016
"Wöhl, H.",305,1969,2015
"Yakobchuk, T.",13,2006,2015
"Barthol, P.",53,1982,2014
"Büchner, J.",361,1975,2016
"Cameron, R.",500,1949,2016
"Curdt, W.",252,1986,2015
"Danilovic, S.",30,2004,2016
"Gandorfer, A.",98,1997,2015
"Inhester, B.",151,1981,2015
"Innes, D.",178,1965,2016
"Krishnappa, N.",5,2008,2015
"Krivova, N.",154,1993,2016
"Lagg, A.",194,1994,2016
"Riethmüller, T.",30,1997,2015
"Schou, J.",451,1958,2016
"Schühle, U.",181,1984,2015
"Schüssler, M.",351,1976,2015
"Shapiro, A.",500,1952,2015
"van Noort, M.",51,1987,2015
"Warnecke, J.",44,1990,2016
"Wiegelmann, T.",188,1995,2016
"Woch, J.",290,1984,2015
"Feller, A.",75,1943,2016
"Solanki, S.",500,1980,2015
"Gizon, L.",174,1997,2016
"Baczynski, K.",5,2007,2013
"Barra, S.",5,2005,2012
"Beeck, B.",19,2008,2016
"Bucik, R.",62,1999,2016
"Chifu, I.",9,2008,2015
"Chitta, L.",11,2012,2016
"Doerr, H.",43,1983,2015
"Gafeira, R.",7,2012,2014
"Hizberger, J.",1,2015,2015
"Iglesias, F.",35,1970,2015
"Kaithakkal, A.",4,2012,2015
"Meller, R.",47,1979,2015
"Mou, C.",275,1975,2016
"Hardi, P.",1,2000,2000
"Riethmüller, T.",30,1997,2015
"Teriaca, L.",116,1997,2015
"Widmer, F.",9,1978,2015
"Zhao, X.",500,1980,2016
"Yeo, K.L.",22,1989,2016
"Burston, R.",36,2003,2015
"Saglam, A.",25,1984,2016
"Schunker, H.",46,2003,2016
"Bothmer, V.",150,1992,2015
"Kneer, F.",247,1968,2016
"Wiehr, E.",216,1968,2015
"Löptien, B.",8,2010,2016
"Hubrig, S.",317,1978,2016
"Denker, C.",201,1993,2016
"Balthasar, H.",174,1980,2016
"Puschmann, K.",73,1994,2016
"Louis, R.E.",33,1930,2015
"Kuckein, C.",17,2008,2016
"Rendtel, J.",242,1976,2015
"Verma, M.",341,1936,2016
"González Manrique, S.J.",2,2016,2016
"Kliem, B.",156,1986,2016
"Mann, G.",500,1912,2016
"Straßmeier, K.",407,1986,2016
"Carroll, T.",378,1936,2016
"Dierke, A.",0,0,0
"Kummerow, P.",1,2016,2016
"Braune, S.",9,1990,2014
"Breitling, F.",85,1997,2016
"Anderson, J.",500,1913,2016
"Vocks, C.",68,1999,2016
"Warmuth, A.",59,1999,2015
"Arlt, R.",241,1935,2016
"Senthamizh Pavai, V.",4,2011,2016
"Gontikakis, K.",0,0,0
"Georgoulis, M.",133,1995,2016
"Syntelis, P.",9,2012,2016
"Tsinganos, K.",229,1979,2016
"Vlahos, L.",180,1975,2016
"Isilker, H.",0,0,0
"Dimitropoulou, M.",12,2008,2016
"Anastasiadis, A.",104,1991,2016
"Kontogiannis, I.",23,2008,2016
"Park , S.",500,1975,2015
"Tsiroupola , G.",0,0,0
"Tziotziou, K.",96,1995,2016
"Thanassis, K.",0,0,0
"Paschalis , A.",16,2009,2015
"Panagiota, P.",0,0,0
"Nindos, A.",80,1993,2016
"Patsourakos, S.",121,1997,2016
"Alissandrakis, C.",219,1970,2016
"Petrovay, K.",83,1987,2015
"Forgács-Dajka, E.",46,2001,2016
"Belucz, B.",15,2008,2015
"Bloomfield, S.",9,1982,2014
"Gallagher, P.",370,1949,2016
"Abbo, L.",42,2001,2015
"Antonucci, E.",283,1970,2015
"Bemporad, A.",202,1901,2015
"Giordano, S.",198,1953,2016
"Mancuso, S.",157,1968,2016
"Telloni, D.",46,2004,2015
"Zangrilli, L.",36,1995,2015
"Cauzzi, G.",120,1989,2015
"Graham, D.",500,1950,2015
"Focardi, M.",65,1999,2016
"Landini, F.",46,2001,2015
"Pancrazzi, M.",43,2007,2015
"Poletto, G.",263,1964,2015
"Pucci, S.",49,1967,2015
"Romano, P.",500,1977,2015
"Spadaro, D.",148,1986,2015
"Guglielmino, S.",46,2003,2016
"Zuccarello, F.",206,1969,2016
"Straus, T.",74,1959,2015
"Andretta, V.",102,1991,2015
"Oliviero, M.",49,1995,2015
"Sasso, C.",77,1999,2015
"Guarrasi, M.",5,2010,2014
"Ciaravella, A.",110,1991,2016
"Orlando, S.",270,1988,2016
"Terzo, S.",214,2010,2016
"Ermolli, I.",115,1993,2016
"Giorgi, F.",500,1982,2016
"Stangalini, M.",43,2008,2016
"Cristaldi, A.",38,1994,2016
"Giannattasio, M.",4,2002,2012
"Mangano, V.",500,1998,2015
"Massetti, S.",115,1993,2015
"Landi degl'Innocenti, E.",174,1972,2015
"Landi degl'Innocenti, M.",28,1972,2014
"Romoli, M.",309,1989,2015
"Verdini, A.",131,1966,2016
"Landi, S.",128,1990,2015
"Barbera, M.",172,1992,2015
"Peres, G.",359,1978,2016
"Reale, F.",300,1975,2016
"Carbone, V.",358,1977,2015
"Greco, A.",241,1959,2016
"Lepreti, F.",68,1999,2015
"Primavera, L.",51,1984,2015
"Zimbardo, G.",169,1984,2015
"Berrilli, F.",187,1976,2016
"Del Moro, D.",108,2001,2016
"Pietropaolo, E.",107,1990,2015
"Pucacco, G.",79,1984,2016
"Forte, R.",8,1987,2006
"Giovannelli, L.",11,2011,2016
"Lovric, M.",13,1990,2014
"Pucci, F.",39,1975,2016
"Scardigli, S.",9,2010,2016
